date,feast,colour,year,rcl,daily,showold,nextyear
14/5/2020,"Matthias, Apostle [4] Red",red,2019-2020,A,2,,
15/5/2020,Friday after Fifth Sunday of Easter,white,2019-2020,A,2,,
16/5/2020,Saturday after Fifth Sunday of Easter,white,2019-2020,A,2,,
17/5/2020,Sixth Sunday of Easter [1] White; SPB Fifth Sunday after Easter,white,2019-2020,A,2,,
18/5/2020,Monday after Sixth Sunday of Easter (Rogation Day),white,2019-2020,A,2,,
19/5/2020,Tuesday after Sixth Sunday of Easter (Rogation Day),white,2019-2020,A,2,,
20/5/2020,Wednesday after Sixth Sunday of Easter (Rogation Day),white,2019-2020,A,2,,
21/5/2020,Ascension Day [1] White,white,2019-2020,A,2,,
22/5/2020,"Helena, c.330 [6] White (translated from 21 May)",white,2019-2020,A,2,,
23/5/2020,"William of Perth (or Rochester), 1201 [6] White",white,2019-2020,A,2,,
24/5/2020,Seventh Sunday of Easter [1] White; SPB Sunday after Ascension Day,white,2019-2020,A,2,,
25/5/2020,"Bede the Venerable, of Jarrow, Teacher of the Faith, 735 [6] White",white,2019-2020,A,2,,
26/5/2020,"Augustine of Canterbury, Bishop, c.604 [6] White",white,2019-2020,A,2,,
27/5/2020,Wednesday after Seventh Sunday of Easter,white,2019-2020,A,2,,
28/5/2020,Thursday after Seventh Sunday of Easter,white,2019-2020,A,2,,
29/5/2020,Friday after Seventh Sunday of Easter,white,2019-2020,A,2,,
30/5/2020,Saturday after Seventh Sunday of Easter,white,2019-2020,A,2,,
31/5/2020,The Day of Pentecost (Whitsunday) [1] Red,red,2019-2020,A,2,,
1/6/2020,The Visit of Mary to Elizabeth [5] White (translated from 31 May),white,2019-2020,A,2,,
2/6/2020,"Justin of Rome, Martyr, c.165 [6] Red (translated from 1 June)",red,2019-2020,A,2,,
3/6/2020,"Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red (Ember Day)",red,2019-2020,A,2,,
4/6/2020,"John XXIII, Bishop of Rome, Reformer, 1963 [6] White",white,2019-2020,A,2,,
5/6/2020,"Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red (Ember Day)",red,2019-2020,A,2,,
6/6/2020,Saturday after the Day of Pentecost (Whitsunday) / Eve of Trinity Sunday (Ember Day),green,2019-2020,A,2,,
7/6/2020,Trinity Sunday (Pentecost 1) [2] White,white,2019-2020,A,2,,
8/6/2020,"Ephrem the Syrian, Deacon and Teacher of the Faith, 373 [6] White",white,2019-2020,A,2,,
9/6/2020,"Columba of Iona, Abbot, 597 [4] White",white,2019-2020,A,2,,
10/6/2020,Wednesday after Trinity Sunday,green,2019-2020,A,2,,
11/6/2020,Corpus Christi (Thanksgiving for Holy Communion) [5] White,white,2019-2020,A,2,,
12/6/2020,"Barnabus, Apostle [4] Red (translated from 11 June)",red,2019-2020,A,2,,
13/6/2020,"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White (translated from 12 June)",white,2019-2020,A,2,,
14/6/2020,Pentecost 2 [3] Green; SPB Trinity 1,green,2019-2020,A,2,,
15/6/2020,"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White (translate from 14 June)",white,2019-2020,A,2,,
16/6/2020,Tuesday after Pentecost 2,green,2019-2020,A,2,,
17/6/2020,Wednesday after Pentecost 2,green,2019-2020,A,2,,
18/6/2020,"Bernard Mizeki, Martyr, 1896 [6] Red",red,2019-2020,A,2,,
19/6/2020,Friday after Pentecost 2,green,2019-2020,A,2,,
20/6/2020,"Fillan, Abbot, c.750 [6] Red",red,2019-2020,A,2,,
21/6/2020,Pentecost 3 [3] Green; SPB Trinity 2,green,2019-2020,A,2,,
22/6/2020,"Alban, Martyr [6] Red",red,2019-2020,A,2,,
23/6/2020,Tuesday after Pentecost 3,green,2019-2020,A,2,,
24/6/2020,The Birth of John the Baptist [4] White,white,2019-2020,A,2,,
25/6/2020,"Moluag of Lismore, Bishop, c.592 [6] White",white,2019-2020,A,2,,
26/6/2020,"Robert Leighton, Bishop, 1684 [6] White",white,2019-2020,A,2,,
27/6/2020,"Alexander Jolly, Bishop, 1838 [6] White",white,2019-2020,A,2,,
28/6/2020,Pentecost 4 [3] Green; SPB Trinity 3,green,2019-2020,A,2,,
29/6/2020,"Peter, Apostle or Peter and Paul, Apostles [4] Red",red,2019-2020,A,2,,
30/6/2020,"Irenaeus of Lyons, Bishop and Teacher of the Faith, 202 [6] White (translated from 28 June)",white,2019-2020,A,2,,
1/7/2020,"Serf, Bishop, c.550 [6] White",white,2019-2020,A,2,,
2/7/2020,Thursday after Pentecost 4,green,2019-2020,A,2,,
3/7/2020,"Thomas, Apostle [4] Red (if not kept on 21 December)",red,2019-2020,A,2,,
4/7/2020,Saturday after Pentecost 4,green,2019-2020,A,2,,
5/7/2020,Pentecost 5 [3] Green; SPB Trinity 4,green,2019-2020,A,2,,
6/7/2020,"Palladius, Bishop, c.450 [6] White",white,2019-2020,A,2,,
7/7/2020,"Boisil, Prior of Melrose, c.642 [6] White",white,2019-2020,A,2,,
8/7/2020,Wednesday after Pentecost 5,green,2019-2020,A,2,,
9/7/2020,Thursday after Pentecost 5,green,2019-2020,A,2,,
10/7/2020,Friday after Pentecost 5,green,2019-2020,A,2,,
11/7/2020,"Benedict of Nursia, Abbot, c.550 [6] White",white,2019-2020,A,2,,
12/7/2020,Pentecost 6 [3] Green; SPB Trinity 5,green,2019-2020,A,2,,
13/7/2020,"Drostan of Deer, Abbot, c.600 [6] White (translated from 12 July)",white,2019-2020,A,2,,
14/7/2020,Tuesday after Pentecost 6,green,2019-2020,A,2,,
15/7/2020,Wednesday after Pentecost 6,green,2019-2020,A,2,,
16/7/2020,Thursday after Pentecost 6,green,2019-2020,A,2,,
17/7/2020,Friday after Pentecost 6,green,2019-2020,A,2,,
18/7/2020,Saturday after Pentecost 6,green,2019-2020,A,2,,
19/7/2020,Pentecost 7 [3] Green; SPB Trinity 6,green,2019-2020,A,2,,
20/7/2020,Monday after Pentecost 7,green,2019-2020,A,2,,
21/7/2020,"William Wilberforce, 1833 [6] White",white,2019-2020,A,2,,
22/7/2020,Mary Magdalene [4] White,white,2019-2020,A,2,,
23/7/2020,Thursday after Pentecost 7,green,2019-2020,A,2,,
24/7/2020,Friday after Pentecost 7,green,2019-2020,A,2,,
25/7/2020,"James, Apostle [4] Red",red,2019-2020,A,2,,
26/7/2020,Pentecost 8 [3] Green; SPB Trinity 7,green,2019-2020,A,2,,
27/7/2020,"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White (translated from 26 July)",white,2019-2020,A,2,,
28/7/2020,Tuesday after Pentecost 8,green,2019-2020,A,2,,
29/7/2020,Martha and Mary of Bethany [6] White,white,2019-2020,A,2,,
30/7/2020,"Silas, Companion of Saint Paul [6] White",white,2019-2020,A,2,,
31/7/2020,"Ignatius Loyola, Priest and Religious, 1556 [6] White",white,2019-2020,A,2,,
1/8/2020,Saturday after Pentecost 8,green,2019-2020,A,2,,
2/8/2020,Pentecost 9 [3] Green; SPB Trinity 8,green,2019-2020,A,2,,
3/8/2020,Monday after Pentecost 9,green,2019-2020,A,2,,
4/8/2020,Tuesday after Pentecost 9,green,2019-2020,A,2,,
5/8/2020,"Oswald of Northumbria, Martyr, 642 [6] Red",red,2019-2020,A,2,,
6/8/2020,The Transfiguration of the Lord [2] White,white,2019-2020,A,2,,
7/8/2020,Friday after Pentecost 9,green,2019-2020,A,2,,
8/8/2020,"Dominic, Priest and Friar, 1221 [6] White",white,2019-2020,A,2,,
9/8/2020,Pentecost 10 [3] Green; SPB Trinity 9,green,2019-2020,A,2,,
10/8/2020,"Lawrence, Deacon and Martyr, 258 [6] Red",red,2019-2020,A,2,,
11/8/2020,"Clare of Assisi, Religious, 1253 [6] White",white,2019-2020,A,2,,
12/8/2020,"Blane, Missionary, c.590 [6] White",white,2019-2020,A,2,,
13/8/2020,"Jeremy Taylor, Bishop, 1667 [6] White",white,2019-2020,A,2,,
14/8/2020,"Maximilian Kolbe, Priest and Martyr, 1941 [6] Red",red,2019-2020,A,2,,
15/8/2020,Mary the Virgin [4] White,white,2019-2020,A,2,,
16/8/2020,Pentecost 11 [3] Green; SPB Trinity 10,green,2019-2020,A,2,,
17/8/2020,Monday after Pentecost 11,green,2019-2020,A,2,,
18/8/2020,Tuesday after Pentecost 11,green,2019-2020,A,2,,
19/8/2020,Wednesday after Pentecost 11,green,2019-2020,A,2,,
20/8/2020,"Bernard of Clairvaux, Abbot and Teacher of the Faith, 1153 [6] White",white,2019-2020,A,2,,
21/8/2020,Friday after Pentecost 11,green,2019-2020,A,2,,
22/8/2020,Saturday after Pentecost 11,green,2019-2020,A,2,,
23/8/2020,Pentecost 12 [3] Green; SPB Trinity 11,green,2019-2020,A,2,,
24/8/2020,"Bartholomew, Apostle [4] Red",red,2019-2020,A,2,,
25/8/2020,"Ebba of Coldingham, Abbess, 683 [6] White (Ordination of the Rt Revd Andrew Swift, Bishop of Brechin, 2018)",white,2019-2020,A,2,,
26/8/2020,Wednesday after Pentecost 12,green,2019-2020,A,2,,
27/8/2020,"Monnica, Mother of Augustine of Hippo, 387 [6] White",white,2019-2020,A,2,,
28/8/2020,"Augustine of Hippo, Bishop and Teacher of the Faith, 430 [6] White",white,2019-2020,A,2,,
29/8/2020,The Beheading of John the Baptist [4] Red,red,2019-2020,A,2,,
30/8/2020,Pentecost 13 [3] Green; SPB Trinity 12,green,2019-2020,A,2,,
31/8/2020,"Aidan of Lindisfarne, Bishop, 651 [6] White",white,2019-2020,A,2,,
1/9/2020,Tuesday after Pentecost 13,green,2019-2020,A,2,,
2/9/2020,"The Martyrs of New Guinea, 1942 [6] Red",red,2019-2020,A,2,,
3/9/2020,"Gregory the Great, Bishop and Teacher of the Faith [6] White",white,2019-2020,A,2,,
4/9/2020,Friday after Pentecost 13,green,2019-2020,A,2,,
5/9/2020,Saturday after Pentecost 13,green,2019-2020,A,2,,
6/9/2020,Pentecost 14 [3] Green; SPB Trinity 13,green,2019-2020,A,2,,
7/9/2020,Monday after Pentecost 14,green,2019-2020,A,2,,
8/9/2020,"The Birth of Mary, Mother of the Lord [5] White",white,2019-2020,A,2,,
9/9/2020,Wednesday after Pentecost 14,green,2019-2020,A,2,,
10/9/2020,Thursday after Pentecost 14,green,2019-2020,A,2,,
11/9/2020,Friday after Pentecost 14,green,2019-2020,A,2,,
12/9/2020,Saturday after Pentecost 14,green,2019-2020,A,2,,
13/9/2020,Pentecost 15 [3] Green; SPB Trinity 14,green,2019-2020,A,2,,
14/9/2020,Holy Cross Day [5] White or Red,red,2019-2020,A,2,,
15/9/2020,"Cyprian of Carthage, Bishop and Martyr, 258 [6] Red (translated from 13 September)",red,2019-2020,A,2,,
16/9/2020,"Ninian of Whithorn, Bishop, c.430 [4] White (Ember Day)",white,2019-2020,A,2,,
17/9/2020,"Hildegard of Bingen, Abbess, 1179 [6] White",white,2019-2020,A,2,,
18/9/2020,Friday after Pentecost 15 (Ember Day),green,2019-2020,A,2,,
19/9/2020,Saturday after Pentecost 15 (Ember Day),green,2019-2020,A,2,,
20/9/2020,Pentecost 16 [3] Green; SPB Trinity 15,green,2019-2020,A,2,,
21/9/2020,"Matthew, Apostle and Evangelist [4] Red",red,2019-2020,A,2,,
22/9/2020,"John Coleridge Patteson, Bishop and Martyr, 1871 [6] Red (translated from 20 September)",red,2019-2020,A,2,,
23/9/2020,"Adamnan of Iona, Abbot, 704 [6] White",white,2019-2020,A,2,,
24/9/2020,Thursday after Pentecost 16,green,2019-2020,A,2,,
25/9/2020,"Finnbar of Caithness, Bishop, c.610 [6] White",white,2019-2020,A,2,,
26/9/2020,Saturday after Pentecost 16,green,2019-2020,A,2,,
27/9/2020,Pentecost 17 [3] Green; SPB Trinity 16,green,2019-2020,A,2,,
28/9/2020,"Vincent de Paul, Priest, 1660 [6] White (translated from 27 September)",white,2019-2020,A,2,,
29/9/2020,Michael and All Angels [4] White,white,2019-2020,A,2,,
30/9/2020,"Jerome, Priest and Teacher of the Faith, 420 [6] White",white,2019-2020,A,2,,
