date,theme,season,feast,description,class,liturgical-colour,translated,spb,emberogation,bishop,year-from,year-to,rcl,daily
10/02/2021,white,Epiphany,St Scholastica,"Religious, 543",6,White,,,,,2020,2021,B,1
11/02/2021,green,Epiphany,Thursday after Fifth Sunday after Epiphany,Feria,,Green,,,,,2020,2021,B,1
12/02/2021,green,Epiphany,Friday after Fifth Sunday after Epiphany,Feria,,Green,,,,,2020,2021,B,1
13/02/2021,green,Epiphany,Saturday after Fifth Sunday after Epiphany,Feria,,Green,,,,,2020,2021,B,1
14/02/2021,green,Epiphany,Sunday before Lent,Transfiguration,3,Green,,SPB Quinquagesima - Violet,,,2020,2021,B,1
15/02/2021,white,Epiphany,Thomas Bray,"Priest and Missionary, 1730",6,White,,,,,2020,2021,B,1
16/02/2021,white,Epiphany,St Cyril and St Methodius,"Monk, 869 and Bishop, 885, 'Apostles of the Slavs'",6,White,Translated from 14 February,,,,2020,2021,B,1
17/02/2021,violet,Lent,Ash Wednesday,The beginning of Lent,1,Violet or Lenten Array,,,,,2020,2021,B,1
18/02/2021,violet,Lent,Thursday after Ash Wednesday,Feria,,Violet or Lenten Array,,,,,2020,2021,B,1
19/02/2021,white,Lent,Martin Luther,"Priest and Reformer, 1546",6,White,,,,,2020,2021,B,1
20/02/2021,white,Lent,St Finan of Lindisfarne,"Bishop, 661",6,White,Translated from 17 February,,,,2020,2021,B,1
21/02/2021,violet,Lent,First Sunday of Lent,Lent 1,1,Violet or Lenten Array,,,,,2020,2021,B,1
22/02/2021,violet,Lent,Monday after First Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2020,2021,B,1
23/02/2021,red,Lent,St Polycarp of Smyrna,"Bishop and Martyr, c.156",6,Red,,,,,2020,2021,B,1
24/02/2021,violet,Lent,Wednesday after First Sunday of Lent,Feria,,Violet or Lenten Array,,,Ember day,,2020,2021,B,1
25/02/2021,violet,Lent,Thursday after First Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2020,2021,B,1
26/02/2021,violet,Lent,Friday after First Sunday of Lent,Feria,,Violet or Lenten Array,,,Ember day,,2020,2021,B,1
27/02/2021,violet,Lent,Saturday after First Sunday of Lent,Feria,,Violet or Lenten Array,,,Ember day,,2020,2021,B,1
28/02/2021,violet,Lent,Second Sunday of Lent,Lent 2,1,Violet or Lenten Array,,,,,2020,2021,B,1
01/03/2021,white,Lent,St David,"Bishop and Patron of Wales, c.601",6,White,,,,"Ordination of the Rt Revd Anne Dyer as Bishop of Aberdeen and Orkney, 2018",2020,2021,B,1
02/03/2021,white,Lent,St Chad of Lichfield,"Bishop, 672",6,White,,,,,2020,2021,B,1
03/03/2021,white,Lent,John and Charles Wesley,"Priests, 1791 and 1788",6,White,,,,,2020,2021,B,1
04/03/2021,red,Lent,St Adrian of May Island and Companions,"Abbot and Martyrs, 875",6,Red,,,,,2020,2021,B,1
05/03/2021,violet,Lent,Friday after Second Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2020,2021,B,1
06/03/2021,white,Lent,St Baldred,"Bishop, 608",6,White,,,,,2020,2021,B,1
07/03/2021,violet,Lent,Third Sunday of Lent,Lent 3,1,Violet or Lenten Array,,,,,2020,2021,B,1
08/03/2021,white,Lent,St Duthac,"Bishop, 1068",6,White,,,,,2020,2021,B,1
09/03/2021,red,Lent,St Perpetua and her Companions,"Martyrs, 203",6,Red,Translated from 7 March,,,,2020,2021,B,1
10/03/2021,red,Lent,St Kessog,"Bishop, c.700",6,Red,,,,,2020,2021,B,1
11/03/2021,violet,Lent,Thursday after Third Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2020,2021,B,1
12/03/2021,violet,Lent,Friday after Third Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2020,2021,B,1
13/03/2021,violet,Lent,Saturday after Third Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2020,2021,B,1
14/03/2021,violet,Lent,Fourth Sunday of Lent (Mothering Sunday),Lent 4,1,Violet or Lenten Array,,,,,2020,2021,B,1
15/03/2021,violet,Lent,Monday after Fourth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2020,2021,B,1
16/03/2021,white,Lent,St Boniface of Ross,"Bishop, 8th century",6,White,,,,,2020,2021,B,1
17/03/2021,white,Lent,St Patrick,"Bishop and Patron of Ireland, c.461",4,White,,,,,2020,2021,B,1
18/03/2021,white,Lent,St Cyril of Jerusalem,"Bishop and Teacher of the Faith, 386",6,White,,,,,2020,2021,B,1
19/03/2021,white,Lent,St Joseph of Nazareth,,4,White,,,,,2020,2021,B,1
20/03/2021,white,Lent,St Cuthbert,"Bishop, 687",6,White,,,,,2020,2021,B,1
21/03/2021,violet,Lent,Fifth Sunday of Lent (Passion Sunday: The beginning of Passiontide),Lent 5,1,Violet or Lenten Array,,,,,2020,2021,B,1
22/03/2021,white,Lent,Thomas Ken,"Bishop, 1711",6,White,,,,,2020,2021,B,1
23/03/2021,red,Lent,Thomas Cranmer,"Bishop, 1556",6,Red,Translated from 21 March,,,,2020,2021,B,1
24/03/2021,white,Lent,Paul Couturier,"Priest, 1953",6,White,,,,,2020,2021,B,1
25/03/2021,white,Lent,The Annunciation of the Lord,,2,White,,,,,2020,2021,B,1
26/03/2021,violet,Lent,Friday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2020,2021,B,1
27/03/2021,violet,Lent,Saturday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2020,2021,B,1
28/03/2021,red,Holy Week,The Sunday of the Passion,Palm Sunday: The beginning of Holy Week,1,Red or Violet,,,,,2020,2021,B,1
29/03/2021,red,Holy Week,Monday of Holy Week,,1,Red or Violet,,,,,2020,2021,B,1
30/03/2021,red,Holy Week,Tuesday of Holy Week,,1,Red or Violet,,,,,2020,2021,B,1
31/03/2021,red,Holy Week,Wednesday of Holy Week,,1,Red or Violet,,,,,2020,2021,B,1
01/04/2021,white,Holy Week,Maundy Thursday,Paschal Triduum,1,White at the Eucharist,,,,,2020,2021,B,1
02/04/2021,red,Holy Week,Good Friday,Paschal Triduum,1,Red for the Liturgy; Hangings removed,,,,,2020,2021,B,1
03/04/2021,white,Holy Week,Holy Saturday,Paschal Triduum: Easter Eve,1,Hangings removed; White at the Easter Vigil,,,,,2020,2021,B,1
04/04/2021,white,Easter,Easter Day,Alleluia! Christ is risen!,1,White,,,,,2020,2021,B,1
05/04/2021,white,Easter,Monday of Easter week,Easter week,,White,,,,,2020,2021,B,1
06/04/2021,white,Easter,Tuesday of Easter week,Easter week,,White,,,,,2020,2021,B,1
07/04/2021,white,Easter,Wednesday of Easter week,Easter week,,White,,,,,2020,2021,B,1
08/04/2021,white,Easter,Thursday of Easter week,Easter week,,White,,,,,2020,2021,B,1
09/04/2021,white,Easter,Friday of Easter week,Easter week,,White,,,,,2020,2021,B,1
10/04/2021,white,Easter,Saturday of Easter week,Easter week,,White,,,,,2020,2021,B,1
11/04/2021,white,Easter,Second Sunday of Easter,Easter 2,1,White,,SPB First Sunday after Easter,,,2020,2021,B,1
12/04/2021,white,Easter,William Forbes,"Bishop, 1634",6,White,,,,,2020,2021,B,1
13/04/2021,white,Easter,George Augustus Selwyn,"Bishop and Missionary, 1878",6,White,Translated from 11 April,,,,2020,2021,B,1
14/04/2021,white,Easter,Wednesday after Second Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
15/04/2021,white,Easter,Thursday after Second Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
16/04/2021,red,Easter,St Magnus of Orkney,"Martyr, c.1116",6,Red,,,,,2020,2021,B,1
17/04/2021,red,Easter,St Donnan and Companions,"Abbot and Martyrs, c.617",6,Red,,,,,2020,2021,B,1
18/04/2021,white,Easter,Third Sunday of Easter,Easter 3,1,White,,SPB Second Sunday after Easter,,,2020,2021,B,1
19/04/2021,white,Easter,Monday after Third Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
20/04/2021,white,Easter,St Maelrubha of Applecross,"Abbot, 722",6,White,,,,,2020,2021,B,1
21/04/2021,white,Easter,St Anselm of Canterbury,"Bishop and Teacher of the Faith, 1109",6,White,,,,,2020,2021,B,1
22/04/2021,white,Easter,Thursday after Third Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
23/04/2021,red,Easter,St George,"Martyr and Patron of England, c.303",6,Red,,,,,2020,2021,B,1
24/04/2021,white,Easter,Saturday after Third Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
25/04/2021,white,Easter,Fourth Sunday of Easter,Easter 4 (Vocations Sunday),1,White,,SPB Third Sunday after Easter,,,2020,2021,B,1
26/04/2021,red,Easter,St Mark,Evangelist,4,Red,Translated from 25 April,,,,2020,2021,B,1
27/04/2021,white,Easter,Albert Ernest Laurie,"Priest, 1937",6,White,Translated from 26 April,,,,2020,2021,B,1
28/04/2021,white,Easter,Wednesday after Fourth Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
29/04/2021,white,Easter,St Catherine of Siena,"Mystic and Teacher of the Faith, 1380",6,White,,,,,2020,2021,B,1
30/04/2021,white,Easter,Friday after Fourth Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
01/05/2021,red,Easter,St Philip and St James,Apostles,4,Red,,,,,2020,2021,B,1
02/05/2021,white,Easter,Fifth Sunday of Easter,Easter 5,1,White,,SPB Fourth Sunday after Easter,,,2020,2021,B,1
03/05/2021,white,Easter,St Athanasius,"Bishop and Teacher of the Faith, 373",6,White,Translated from 2 May,,,,2020,2021,B,1
04/05/2021,white,Easter,Tuesday after Fifth Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
05/05/2021,white,Easter,Wednesday after Fifth Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
06/05/2021,white,Easter,Thursday after Fifth Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
07/05/2021,white,Easter,Friday after Fifth Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
08/05/2021,white,Easter,St Julian of Norwich,"Anchoress, c.1417",6,White,,,,,2020,2021,B,1
09/05/2021,white,Easter,Sixth Sunday of Easter,Easter 6,1,White,,SPB Fifth Sunday after Easter,,,2020,2021,B,1
10/05/2021,white,Easter,Monday after Sixth Sunday of Easter,Feria,,White,,,Rogation day,,2020,2021,B,1
11/05/2021,white,Easter,Tuesday after Sixth Sunday of Easter,Feria,,White,,,Rogation day,,2020,2021,B,1
12/05/2021,white,Easter,Thomas Rattray,"Bishop, 1743",6,White,,,Rogation day,"Ordination of the Rt Revd Dr John Armes as Bishop of Edinburgh, 2012",2020,2021,B,1
13/05/2021,white,Easter,Ascension Day,Feast of the Ascension of Jesus Christ,1,White,,,,,2020,2021,B,1
14/05/2021,red,Easter,St Matthias,Apostle,4,Red,,,,,2020,2021,B,1
15/05/2021,white,Easter,Saturday after Sixth Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
16/05/2021,white,Easter,Seventh Sunday of Easter,Easter 7,1,White,,SPB Sunday after Ascension Day,,,2020,2021,B,1
17/05/2021,white,Easter,Monday after Seventh Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
18/05/2021,white,Easter,Tuesday after Seventh Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
19/05/2021,white,Easter,Wednesday after Seventh Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
20/05/2021,white,Easter,Thursday after Seventh Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
21/05/2021,white,Easter,St Helena,"Mother of Constantine the Great, c.330",6,White,,,,,2020,2021,B,1
22/05/2021,white,Easter,Saturday after Seventh Sunday of Easter,Feria,,White,,,,,2020,2021,B,1
23/05/2021,red,Pentecost,The Day of Pentecost,Whitsunday,1,Red,,,,,2020,2021,B,1
24/05/2021,white,Pentecost,St William of Perth (or Rochester),1201,6,White,Translated from 23 May,,,,2020,2021,B,1
25/05/2021,white,Pentecost,"St Bede the Venerable, of Jarrow","Teacher of the Faith, 735",6,White,,,,,2020,2021,B,1
26/05/2021,white,Pentecost,St Augustine of Canterbury,"Bishop, c.604",6,White,,,Ember day,,2020,2021,B,1
27/05/2021,green,Pentecost,Thursday after the Day of Pentecost (Whitsunday),Feria,,Green,,,,,2020,2021,B,1
