Import file template field,Start date,,SUBJECT,SUBJECT,SUBJECT,DESCRIPTION,DESCRIPTION,DESCRIPTION,,DESCRIPTION,DESCRIPTION,
Friday,2023-06-02,,Friday after the Day of Pentecost (Whitsunday),,,,"Friday 2 June 2023

Friday after the Day of Pentecost (Whitsunday) (Green)
Week of Pentecost
Week of Proper 8
Year A/1

DAILY EUCHARIST
Sirach 44:1-13
Psalm 149:1-5
Mark 11:11-26

DAILY PRAYER: Week A
Deuteronomy 5:1-22
2 Corinthians 4:1-12
Luke 16:10-17, (18)

EMBER DAY READINGS
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21

COLLECT
Almighty and eternal God: 
direct our lives according to your gracious will; 
that, in the name of your beloved Son,
we may be strengthened to abound in good works; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-06-03,,"Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red / Eve of Trinity Sunday",,,,"Saturday 3 June 2023

Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red
Saturday after the Day of Pentecost (Whitsunday) (Green)
Eve of Trinity Sunday                
Week of Pentecost
Week of Proper 8
Year A/1

DAILY EUCHARIST
Sirach 51:11b-22
Psalm 19:7-14
Mark 11:27-33

MORNING PRAYER: Week A
Deuteronomy 5:22-33
2 Corinthians 4:13 - 5:10
Luke 16:19-31""

EVENING PRAYER for Eve of Trinity Sunday: Festivals
Sirach 42:15-25
Ephesians 3:14-21

EMBER DAY READINGS
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27

COLLECT
Almighty and eternal God: 
direct our lives according to your gracious will; 
that, in the name of your beloved Son,
we may be strengthened to abound in good works; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-06-04,,Trinity Sunday [2] White; Pentecost 1,,,,"Sunday 4 June 2023

Trinity Sunday [2] White; Pentecost 1
Week of Proper 9
Year A/1

EUCHARIST
Genesis 1:1 - 2:4a
Psalm 8
2 Corinthians 13:11-13
Matthew 28:16-20

DAILY PRAYER: Festivals
Isaiah 6:1-8
2 Corinthians 13:(5-10), 11-13
John 16:5-15

ALTERNATIVE PSALMS
Morning: Psalms 93 and 150
Evening: Psalm 104:1-9

COLLECT
Almighty and Everlasting God,
you have given us grace in the profession of true faith
to recognise the glory of the eternal Trinity:
keep us steadfast in this faith
and bring us to see you in your perfect and eternal unity;
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-06-05,,"Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red",,,,"Monday 5 June 2023

Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red
Monday after Trinity Sunday
Week of Proper 9
Year A/1

DAILY EUCHARIST
Tobit 1:1-2; 2:1-8
Psalm 112:1-6
Mark 12:1-12

DAILY PRAYER: Week B 
Deuteronomy 11:8-19
2 Corinthians 5:11 - 6:2
Luke 17:1-10

COLLECT
O Lord, mercifully hear our prayers: 
loose us from the chains of our sins; 
and keep us from all adversity; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-06-06,,"John XXIII, Bishop of Rome, Reformer, 1963 [6] White (translated from 4 June)",,,,"Tuesday 6 June 2023

John XXIII, Bishop of Rome, Reformer, 1963 [6] White (translated from 4 June)
Tuesday after Trinity Sunday
Week of Proper 9
Year A/1

DAILY EUCHARIST
Tobit 2:9-14
Psalm 112:1-2, 7-9
Mark 12:13-17

DAILY PRAYER: Week B
Deuteronomy 12:1-12
2 Corinthians 6:3-13, (6:14 - 7:1)
Luke 17:11-19

COLLECT
O Lord, mercifully hear our prayers: 
loose us from the chains of our sins; 
and keep us from all adversity; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-06-07,,Wednesday after Trinity Sunday,,,,"Wednesday 7 June 2023

Wednesday after Trinity Sunday
Week of Proper 9
Year A/1

DAILY EUCHARIST
Tobit 3:1-11, 16-17
Psalm 25:1-8
Mark 12:18-27

DAILY PRAYER: Week B
Deuteronomy 13:1-11
2 Corinthians 7:2-16
Luke 17:20-37

COLLECT
O Lord, mercifully hear our prayers: 
loose us from the chains of our sins; 
and keep us from all adversity; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-06-08,,Corpus Christi (Thanksgiving for Holy Communion) [5] White,,,,"Thursday 8 June 2023

Corpus Christi (Thanksgiving for Holy Communion) [5] White
Week of Proper 9
Year A/1

DAILY EUCHARIST
Exodus 16:9-15
Psalm 116:12-19
1 Corinthians 10:16-17 or 1 Corinthians 11:23-26
John 6:(51-52), 53-58

DAILY PRAYER: Week B
Deuteronomy 16:18-20; 17:14-20
2 Corinthians 8:1-16
Luke 18:1-8""

COLLECT
O Lord Jesus Christ, 
who in a wonderful Sacrament 
have left to us a memorial of your passion: 
grant us, we pray, 
so to venerate the sacred mysteries of your Body and Blood, 
that we may ever perceive within ourselves 
the fruits of your redemption; 
who live and reign with God the Father
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-06-09,,"Columba of Iona, Abbot, 597 [4] White",,,,"Friday 9 June 2023

Columba of Iona, Abbot, 597 [4] White
Week of Proper 9
Year A/1

EUCHARIST
Isaiah 61:1-3
Psalm 34:1-8 or Psalm 9:22
1 Thessalonians 2:2-12 or Ephesians 4:14-19
Matthew 5:13-16 or Matthew 28:16-20 or Luke 12:32-37

MORNING PRAYER: Festivals
Genesis 12:1-9
Hebrews 11:8-16

EVENING PRAYERS: Festivals
Isaiah 52:7-12
Acts 20:25-35

COLLECT
O God, 
who called your servant Columba 
from among the princes of Ireland 
to be a herald and evangelist of your kingdom: 
grant that your Church, remembering his faith and courage, 
may so proclaim the gospel, 
that people everywhere 
will come to know your Son as their Saviour,
and serve him as their king;
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Friday after Trinity Sunday
Week of Proper 9
Year A/1

DAILY EUCHARIST
Tobit 11:5-15
Psalm 146
Mark 12:35-37

DAILY PRAYER: Week B 
Deuteronomy 26:1-11
2 Corinthians 8:16-24
Luke 18:9-14

COLLECT
O Lord, mercifully hear our prayers: 
loose us from the chains of our sins; 
and keep us from all adversity; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-06-10,,"Ephrem the Syrian, Deacon and Teacher of the Faith, 373 [6] White (translated from 8 June)",,,,"Saturday 10 June 2023

Ephrem the Syrian, Deacon and Teacher of the Faith, 373 [6] White (translated from 8 June)
Saturday after Trinity Sunday
Week of Proper 9
Year A/1

DAILY EUCHARIST
Tobit 12:1, 5-15, 20
Psalm 65:1-4
Mark 12:38-44

DAILY PRAYER: Week B
Deuteronomy 29:2-15
2 Corinthians 9:1-15
Luke 18:15-30

COLLECT
O Lord, mercifully hear our prayers: 
loose us from the chains of our sins; 
and keep us from all adversity; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-06-11,,Pentecost 2 [3] Green; SPB Trinity 1,,,,"Sunday 11 June 2023

Pentecost 2 [3] Green
SPB Trinity 1
Week of Proper 10
Year A/1

EUCHARIST

Continuous:
Genesis 12:1-9
Psalm 33:1-12
Romans 4:13-25
Matthew 9:9-13, 18-26

Thematic:
Hosea 5:15 - 6:6
Psalm 50:7-15
Romans 4:13-25
Matthew 9:9-13, 18-26

DAILY PRAYER: Week C
1 Samuel 18:1-16
Romans 9:1-13
Luke 8:41-56

ALTERNATIVE PSALMS
Morning: Psalm 41
Evening: Psalm 37:1-11

COLLECT
O God, our hope and strength, 
the source and end of all our prayers:
because our mortal nature is weak 
we can do nothing good without your help;
support us with your grace, 
that in keeping your commandments, 
we may ever remain in your love; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-06-12,,"Barnabus, Apostle [4] Red (translated from 11 June)",,,,"Monday 12 June 2023

Barnabus, Apostle [4] Red (translated from 11 June)
Week of Proper 10
Year A/1

EUCHARIST
Isaiah 45:5-12 or Job 29:11-16
Psalm 112
Acts 11:19-30; (13:1-30)
Matthew 10:7-16 or John 15:12-17

MORNING PRAYER: Festivals
Sirach 31:3-11
Acts 4:32-37

EVENING PRAYER: Festivals
Job 29:11-16
Acts 9:26-31

COLLECT
Lord God Almighty, 
who filled your holy apostle Barnabas 
with faith and the Holy Spirit, 
and set him apart to proclaim your word to the nations:
grant us, like him, the same gifts; 
that we may encourage the faint-hearted, 
remember the poor, 
and bring others to know you, 
the living God; 
for the sake of Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Monday after Pentecost 2
Week of Proper 10
Year A/1

DAILY EUCHARIST
2 Corinthians 1:1-7
Psalm 34:1-8
Matthew 5:1-12

DAILY PRAYER: Week C
Deuteronomy 30:1-10
2 Corinthians 10:1-18
Luke 18:31-43

COLLECT
O God, our hope and strength, 
the source and end of all our prayers:
because our mortal nature is weak 
we can do nothing good without your help;
support us with your grace, 
that in keeping your commandments, 
we may ever remain in your love; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-06-13,,"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White (translated from 12 June)",,,,"Tuesday 13 June 2023

John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White (translated from 12 June)
Tuesday after Pentecost 2
Week of Proper 10
Year A/1

DAILY EUCHARIST
2 Corinthians 1:18-22
Psalm 119:129-136
Matthew 5:13-16

DAILY PRAYER: Week C
Deuteronomy 30:11-20
2 Corinthians 11:1-21a
Luke 19:1-10

COLLECT
O God, our hope and strength, 
the source and end of all our prayers:
because our mortal nature is weak 
we can do nothing good without your help;
support us with your grace, 
that in keeping your commandments, 
we may ever remain in your love; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-06-14,,"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White",,,,"Wednesday 14 June 2023

Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White
Wednesday after Pentecost 2
Week of Proper 10
Year A/1

DAILY EUCHARIST
2 Corinthians 3:4-11
Psalm 99
Matthew 5:17-19

DAILY PRAYER: Week C
Deuteronomy 31:30 - 32:14
2 Corinthians 11:21b-33
Luke 19:11-27

COLLECT
O God, our hope and strength, 
the source and end of all our prayers:
because our mortal nature is weak 
we can do nothing good without your help;
support us with your grace, 
that in keeping your commandments, 
we may ever remain in your love; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-06-15,,Members of the Church who suffered under the Penal Laws [6] Red,,,,"Thursday 15 June 2023

Members of the Church who suffered under the Penal Laws [6] Red
Week of Proper 10
Year A/1

LECTIONARY
Jeremiah 38:1-13
Psalm 101
Hebrews 11:23-28
Mark 13:9-13 (14-23)

COLLECT
Merciful God,
when this Church suffered under human laws, 
you inspired the courage and constancy
of those who sustained your faith and worship 
through times of adversity and persecution:
may we, who worship you in peace,
show courage and conviction in our lives,
and glorify you before those in power;
through Jesus Christ our Lord. 

---

Thursday after Pentecost 2
Week of Proper 10
Year A/1

DAILY EUCHARIST
2 Corinthians 3:12 - 4:6
Psalm 85:7-13
Matthew 5:20-26

DAILY PRAYER: Week C
Sirach 44:19 - 45:5
2 Corinthians 12:1-10
Luke 19:28-40

COLLECT
O God, our hope and strength, 
the source and end of all our prayers:
because our mortal nature is weak 
we can do nothing good without your help;
support us with your grace, 
that in keeping your commandments, 
we may ever remain in your love; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-06-16,,Friday after Pentecost 2,,,,"Friday 16 June 2023

Friday after Pentecost 2                           
Week of Proper 10
Year A/1

DAILY EUCHARIST
2 Corinthians 4:7-15
Psalm 116:9-17
Matthew 5:27-32

DAILY PRAYER: Week C
Sirach 45:6-16
2 Corinthians 12:11-21
Luke 19:41-48

COLLECT
O God, our hope and strength, 
the source and end of all our prayers:
because our mortal nature is weak 
we can do nothing good without your help;
support us with your grace, 
that in keeping your commandments, 
we may ever remain in your love; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-06-17,,Saturday after Pentecost 2,,,,"Saturday 17 June 2023

Saturday after Pentecost 2
Week of Proper 10
Year A/1

DAILY EUCHARIST
2 Corinthians 5:14-21
Psalm 103:1-12
Matthew 5:33-37

DAILY PRAYER: Week C
Sirach 46:1-10
2 Corinthians 13:1-14
Luke 20:1-8

COLLECT
O God, our hope and strength, 
the source and end of all our prayers:
because our mortal nature is weak 
we can do nothing good without your help;
support us with your grace, 
that in keeping your commandments, 
we may ever remain in your love; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-06-18,,Pentecost 3 [3] Green; SPB Trinity 2,,,,"Sunday 18 June 2023

Pentecost 3 [3] Green
SPB Trinity 2
Week of Proper 11
Year A/1

EUCHARIST

Continuous:
Genesis 18:1-15, (21:1-7)
Psalm 116:1-12, 12-19
Romans 5:1-8
Matthew 9:35 - 10:8, (9-23)

Thematic:
Exodus 19:2-8a
Psalm 100
Romans 5:1-8
Matthew 9:35 - 10:8, (9-23)

DAILY PRAYER: Week D
1 Samuel 21:1-16
Romans 9:14-26
Luke 11:14-28

ALTERNATIVE PSALMS
Morning: Psalm 42
Evening: Psalm 39

COLLECT
O Lord, you always guide your people
whom you build up on the foundation of your love:
make us ever stand in awe of your Holy Name,
and love you in equal measure;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-06-19,,"Bernard Mizeki, Martyr, 1896 [6] Red (translated from 18 June)",,,,"Monday 19 June 2023

Bernard Mizeki, Martyr, 1896 [6] Red (translated from 18 June)
Monday after Pentecost 3
Week of Proper 11
Year A/1

DAILY EUCHARIST
2 Corinthians 6:1-10
Psalm 98
Matthew 5:38-42

DAILY PRAYER: Week D
1 Samuel 1:1-20
Acts 1:1-14
Luke 20:9-19

COLLECT
O Lord, you always guide your people
whom you build up on the foundation of your love:
make us ever stand in awe of your Holy Name,
and love you in equal measure;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-06-20,,"Fillan, Abbot, c.750 [6] Red",,,,"Tuesday 20 June 2023

Fillan, Abbot, c.750 [6] Red
Tuesday after Pentecost 3
Week of Proper 11
Year A/1

DAILY EUCHARIST
2 Corinthians 8:1-9
Psalm 146
Matthew 5:43-48

DAILY PRAYER: Week D
1 Samuel 1:21 - 2:11
Acts 1:15-26
Luke 20:19-26

COLLECT
O Lord, you always guide your people
whom you build up on the foundation of your love:
make us ever stand in awe of your Holy Name,
and love you in equal measure;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-06-21,,Wednesday after Pentecost 3,,,,"Wednesday 21 June 2023

Wednesday after Pentecost 3
Week of Proper 11
Year A/1

DAILY EUCHARIST
2 Corinthians 9:6-11
Psalm 112:1-9
Matthew 6:1-6, 16-18

DAILY PRAYER: Week D
1 Samuel 2:12-26
Acts 2:1-21
Luke 20:27-40""

COLLECT
O Lord, you always guide your people
whom you build up on the foundation of your love:
make us ever stand in awe of your Holy Name,
and love you in equal measure;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-06-22,,"Alban, Martyr, c.303 [6] Red",,,,"Thursday 22 June 2023

Alban, Martyr, c.303 [6] Red
Thursday after Pentecost 3
Week of Proper 11
Year A/1

DAILY EUCHARIST
2 Corinthians 11:1-11
Psalm 111
Matthew 6:7-15

DAILY PRAYER: Week D
1 Samuel 2:27-36
Acts 2:22-36
Luke 20:41 - 21:4

COLLECT
O Lord, you always guide your people
whom you build up on the foundation of your love:
make us ever stand in awe of your Holy Name,
and love you in equal measure;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-06-23,,Friday after Pentecost 3,,,,"Friday 23 June 2023

Friday after Pentecost 3
Week of Proper 11
Year A/1

DAILY EUCHARIST
2 Corinthians 11:18, 21b-30
Psalm 34:1-6
Matthew 6:19-23

DAILY PRAYER: Week D
1 Samuel 3:1-21
Acts 2:37-47
Luke 21:5-19

COLLECT
O Lord, you always guide your people
whom you build up on the foundation of your love:
make us ever stand in awe of your Holy Name,
and love you in equal measure;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-06-24,`,The Birth of John the Baptist [4] White,,,,"Saturday 24 June 2023

The Birth of John the Baptist [4] White
Week of Proper 11
Year A/1

EUCHARIST
Isaiah 40:1-11
Psalm 85:7-13
Acts 13:14b-26 or Galatians 3:23-29
Luke 1:57-66, (67-79), 80

MORNING PRAYER: Festivals
Malachi 3:1-5
John 3:22-30

EVENING PRAYER: Festivals
Malachi 4:1-6
Matthew 11:2-19

COLLECT
Almighty God, 
by whose providence John the Baptist was wonderfully born, 
and filled with the Holy Spirit to prepare the way 
of your Son, our Saviour: 
give us, we pray, the light of spiritual joy; 
and guide the hearts of all the faithful 
into the way of salvation and peace;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Saturday after Pentecost 3
Week of Proper 11
Year A/1

DAILY EUCHARIST
2 Corinthians 12:1-10
Psalm 34:7-14
Matthew 6:24-34

DAILY PRAYER: Week D
1 Samuel 4:1b-11
Acts 4:32 - 5:11
Luke 21:20-28

COLLECT
O Lord, you always guide your people
whom you build up on the foundation of your love:
make us ever stand in awe of your Holy Name,
and love you in equal measure;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-06-25,,Pentecost 4 [3] Green; SPB Trinity 3,,,,"Sunday 25 June 2023

Pentecost 4 [3] Green
SPB Trinity 3
Week of Proper 12
Year A/1

EUCHARIST

Continuous:
Genesis 21:8-21
Psalm 86:1-10, 16-17
Romans 6:1b-11
Matthew 10:24-39

Thematic:
Jeremiah 20:7-13
Psalm 69:7-10, (11-15), 16-18
Romans 6:1b-11
Matthew 10:24-39

DAILY PRAYER: Week A
1 Samuel 24:1-17
Romans 11:25-36
Luke 14:12-24

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 49

COLLECT
O Lord,  
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-06-26,,"Robert Leighton, Bishop, 1684 [6] White",,,,"Monday 26 June 2023

Robert Leighton, Bishop, 1684 [6] White
Monday after Pentecost 4
Week of Proper 12
Year A/1

DAILY EUCHARIST
Genesis 12:1-9
Psalm 33:12-22
Matthew 7:1-5

DAILY PRAYER: Week A 
1 Samuel 5:1-12
Acts 5:12-26
Luke 21:29-36

COLLECT
O Lord,  
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-06-27,,"Alexander Jolly, Bishop, 1838 [6] White",,,,"Tuesday 27 June 2023

Alexander Jolly, Bishop, 1838 [6] White
Tuesday after Pentecost 4
Week of Proper 12
Year A/1

DAILY EUCHARIST
Genesis 13:2, 5-18
Psalm 15
Matthew 7:6, 12-14

DAILY PRAYER: Week A 
1 Samuel 6:1-16
Acts 5:27-42
Luke 21:37 - 22:13

COLLECT
O Lord,  
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-06-28,,"Irenaeus of Lyons, Bishop and Teacher of the Faith, c.202 [6] White",,,,"Wednesday 28 June 2023

Irenaeus of Lyons, Bishop and Teacher of the Faith, c.202 [6] White
Wednesday after Pentecost 4
Week of Proper 12
Year A/1

DAILY EUCHARIST
Genesis 15:1-12, 17-18
Psalm 105:1-9
Matthew 7:15-20

DAILY PRAYER: Week A 
1 Samuel 7:2-17
Acts 6:1-15
Luke 22:14-23

COLLECT
O Lord,  
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-06-29,,"Peter, Apostle (or Peter and Paul, Apostles) [4] Red",,,,"Thursday 29 June 2023

Peter, Apostle [4] Red
Week of Proper 12
Year A/1

EUCHARIST
Ezekiel 3:4-11 or Ezekiel 3:22-27
Psalm 125
1 Peter 2:19-25
Matthew 16:13-19

MORNING PRAYER: Festivals
Ezekiel 2:1-7
Acts 9:32-43

EVENING PRAYER: Festivals
Ezekiel 34:11-16
John 21:15-22

COLLECT
Almighty God,
who inspired your apostle Saint Peter
to confess Jesus as Christ and Son of the living God:
build up your Church upon this rock,
that in unity and peace it may proclaim one truth
and follow one Lord, your Son, our Saviour Jesus Christ;
who lives and reigns with you,
in the unity of the Holy Spirit, 
one God, world without end.

---

Peter, Apostle or Peter and Paul, Apostles [4] Red
Week of Proper 12
Year A/1

EUCHARIST
Ezekiel 34:11-16 or Zechariah 4:1-6a, 10-14
Psalm 125
2 Timothy 4:(1-5), 6-8, 17-18
John 21:15-19 or Matthew 16:13-19

MORNING PRAYER: Festivals
Ezekiel 2:1-7
Acts 11:1-18

EVENING PRAYER: Festivals
Isaiah 49:1-6
Galatians 2:1-9

COLLECT
Almighty God, whose blessed apostles, Peter and Paul, 
glorified you in their death as in their life:
grant that your Church, instructed by their teaching and example, 
and knit together in unity by your Spirit,
may ever stand firm upon the one foundation, 
which is Jesus Christ, our Lord;
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Thursday after Pentecost 4
Week of Proper 12
Year A/1

DAILY EUCHARIST
Genesis 16:1-12, 15-16
Psalm 106:1-5
Matthew 7:21-29

DAILY PRAYER: Week A
1 Samuel 8:1-22
Acts 6:15 - 7:16
Luke 22:24-30""

COLLECT
O Lord,  
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-06-30,,"Moluag of Lismore, Bishop, 592 [6] White (translated from 25 June)",,,,"Friday 30 June 2023        

Moluag of Lismore, Bishop, 592 [6] White (translated from 25 June)
Friday after Pentecost 4
Week of Proper 12
Year A/1

DAILY EUCHARIST
Genesis 17:9-10, 15-22
Psalm 128
Matthew 8:1-4

DAILY PRAYER: Week A
1 Samuel 9:1-14
Acts 7:17-29
Luke 22:31-38

COLLECT
O Lord,  
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-07-01,,"Serf, Bishop, c.500 [6] White",,,,"Saturday 1 July 2023

Serf, Bishop, c.500 [6] White
Saturday after Pentecost 4
Week of Proper 12
Year A/1

DAILY EUCHARIST
Genesis 18:1-15
Psalm 123
Matthew 8:5-17

DAILY PRAYER: Week A
1 Samuel 9:15 - 10:1
Acts 7:30-43
Luke 22:39-51

COLLECT
O Lord,  
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.
",,,,,
Sunday,2023-07-02,,Pentecost 5 [3] Green; SPB Trinity 4,,,,"Sunday 2 July 2023

Pentecost 5 [3] Green
SPB Trinity 4
Week of Proper 13
Year A/1

EUCHARIST

Continuous:
Genesis 22:1-14
Psalm 13
Romans 6:12-23
Matthew 10:40-42

Thematic:
Jeremiah 28:5-9
Psalm 89:1-4, 15-18
Romans 6:12-23
Matthew 10:40-42

DAILY PRAYER: Week B
1 Samuel 28:3-19
Romans 13:1-10
Luke 17:20-37

ALTERNATIVE PSALMS
Morning: Psalm 50
Evening: Psalm 53

COLLECT
O God, the protector of all who trust in you, 
without whom nothing can be whole 
and nothing can be holy: 
increase your mercy towards us, 
that, with you as our ruler and guide, 
we may so enjoy the good things of time, 
as not to lose the things of eternity; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-07-03,,"Thomas, Apostle [4] Red (if not kept on 21 December)",,,,"Monday 3 July 2023

Thomas, Apostle [4] Red (if not kept on 21 December)
Week of Proper 13
Year A/1

EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7

COLLECt
Almighty and everliving God, 
who strengthened your apostle Thomas 
with faith in the resurrection of your Son: 
grant to us, who have not seen, 
that we also may believe 
and so confess Christ as our Lord and our God; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

---

Monday after Pentecost 5 (Green)
Week of Proper 13
Year A/1

DAILY EUCHARIST
Genesis 18:16-33
Psalm 103:1-10
Matthew 8:18-22

DAILY PRAYER: Week B
1 Samuel 10:17-27
Acts 7:44 - 8:1a
Luke 22:52-62

COLLECT
O God, the protector of all who trust in you, 
without whom nothing can be whole 
and nothing can be holy: 
increase your mercy towards us, 
that, with you as our ruler and guide, 
we may so enjoy the good things of time, 
as not to lose the things of eternity; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-07-04,,Tuesday after Pentecost 5,,,,"Tuesday 4 July 2023

Tuesday after Pentecost 5
Week of Proper 13
Year A/1

DAILY EUCHARIST
Genesis 19:15-29
Psalm 26
Matthew 8:23-27

DAILY PRAYER: Week B
1 Samuel 11:1-15
Acts 8:1-13
Luke 22:63-71

COLLECT
O God, the protector of all who trust in you, 
without whom nothing can be whole 
and nothing can be holy: 
increase your mercy towards us, 
that, with you as our ruler and guide, 
we may so enjoy the good things of time, 
as not to lose the things of eternity; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
