Subject,Start Date,Start Time,End Date,End Time,All Day Event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"Stephen, Deacon and Martyr [4] Red",26/12/2018,,,,TRUE,FALSE,"Stephen, Deacon and Martyr [4] Red
26 December
The Remaining Days of Christmas

DAILY EUCHARIST
Jeremiah 26:1-9, 12-15
Psalm 31:1-7, 16
Acts 6:8 - 7:2a, 51c-60
Matthew 23:34-39

MORNING PRAYER: Incarnation/Festivals
2 Chronicles 24:17-22
Acts 6:1-7

EVENING PRAYER: Incarnation/Festival
Wisdom of Solomon 4:7-15
Acts 7:59 - 8:8",Normal,Normal,3
"John, Apostle and Evangelist [4] White",27/12/2018,,,,TRUE,FALSE,"John, Apostle and Evangelist [4] White
27 December
The Remaining Days of Christmas

DAILY EUCHARIST
Genesis 1 or Genesis 1:1-5, 12-19
Psalm 92:1-2, 11-14
1 John 1:1-9
John 20:1-8

MORNING PRAYER: Incarnation/Festivals
Proverbs 8:22-30
John 13:20-35

EVENING PRAYER: Incarnation/Festivals
Isaiah 44:1-8
1 John 5:1-12",Normal,Normal,3
The Holy Innocents [4] White,28/12/2018,,,,TRUE,FALSE,"The Holy Innocents [4] White
28 December
The Remaining Days of Christmas

DAILY EUCHARIST
Jeremiah 31:15-17
Psalm 124
Revelation 21:1-7
Matthew 2:13-18

MORNING PRAYER: Incarnation/Festivals
Isaiah 49:13-23
Matthew 18:1-14

EVENING PRAYER: Incarnation/Festivals
Isaiah 54:1-13
Mark 10:13-16",Normal,Normal,3
"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red",29/12/2018,,,,TRUE,FALSE,"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red
29 December
The Remaining Days of Christmas

DAILY EUCHARIST (White)
1 John 2:7-11
Psalm 96:1-9
Luke 2:22-35

DAILY PRAYER: Incarnation 
Isaiah 12:1-6
Revelation 1:1-8
John 7:37-52",Normal,Normal,3
First Sunday after Christmas [2] White,30/12/2018,,,,TRUE,FALSE,"First Sunday after Christmas [2] White
Week of Christmas 1

EUCHARIST
1 Samuel 2:18-20, 26
Psalm 148
Colossians 3:12-17
Luke 2:41-52

DAILY PRAYER: Incarnation 
Isaiah 49:7-13
Colossians 1:9-20
Luke 2:41-52

ALTERNATIVE PSALMS
Morning: Psalm 132
Evening: Psalm 105:1-9",Normal,Normal,3
"John Wycliffe, Priest, 1384 [6] White",31/12/2018,,,,TRUE,FALSE,"John Wycliffe, Priest, 1384 [6] White
31 December (Hogmanay)
The Remaining Days of Christmas
Week of Christmas 1

DAILY EUCHARIST (White)
1 John 2:18-21
Psalm 96:1-2, 11-13
John 1:1-18

MORNING PRAYER: Incarnation 
Isaiah 26:1-9
2 Corinthians 5:16 - 6:2
John 8:12-19

EVENING PRAYER: Incarnation
Isaiah 65:15b-25
Revelation 21:1-6",Normal,Normal,3
The Naming of Jesus [2] White,01/01/2019,,,,TRUE,FALSE,"The Naming of Jesus [2] White
1 January (New Year's Day)
Week of Christmas 1

DAILY EUCHARIST
Numbers 6:22-27
Psalm 8
Galatians 4:4-7 or Philippians 2:5-11
Luke 2:15-21

DAILY PRAYER: Incarnation/Festivals 
Genesis 17:1-12a, 15-16
Colossians 2:6-12
John 16:23b-30",Normal,Normal,3
"Seraphim of Sarov, 1833 [6] White",02/01/2019,,,,TRUE,FALSE,"Seraphim of Sarov, 1833 [6] White
2 January
Week of Christmas 1

DAILY EUCHARIST (White)
1 John 1:22-29
Psalm 98:1-5
John 1:19-28

DAILY PRAYER: Incarnation 
Genesis 12:1-7
Hebrews 11:1-12
John 6:35-42, 48-51",Normal,Normal,3
"Josephine Butler, 1905 [6] White (translated from 30 December)",03/01/2019,,,,TRUE,FALSE,"Josephine Butler, 1905 [6] White (translated from 30 December)
3 January
Week of Christmas 1

DAILY EUCHARIST (White)
1 John 3:1-6
Psalm 98:1-2, 4-7
John 1:29-34

DAILY PRAYER: Incarnation 
Genesis 28:10-22
Hebrews 11:13-22
John 10:7-17",Normal,Normal,3
Friday after First Sunday after Christmas,04/01/2019,,,,TRUE,FALSE,"Friday after First Sunday after Christmas
4 January
Week of Christmas 1

DAILY EUCHARIST (White)
1 John 3:7-10
Psalm 98:1-2, 8-10
John 1:35-42

DAILY PRAYER: Incarnation 
Exodus 3:1-12
Hebrews 11:23-31
John 14:6-14",Normal,Normal,3
